PtID,CompletedProtocol,Condition,IsSR,NormalFirst,SessionTime,StartKSS,EndKSS,TrialNo,TaskVersion,NoBlkBall,OddsA,OddsB,CorrectResp,PtResp,RT,IsCorrect,NoBrainers,NoBrainersTotal,Accuracy,L(X|A),L(X|B), LR(A) ,Prior(A),LogLLA,LogBaserate,post_odds,post_prob,IsEasy
2,1,1,0,1,1,2,2,1,3,6,0.7,0.3,1,1,1847,1,0,,,0.009754611,0.000609663,16,0.7,2.772588722,0.84729786,37.33333331,0.97391,1
2,1,1,0,1,1,2,2,2,3,2,0.9,0.1,0,1,2837,0,0,,,0.000609663,0.009754611,0.0625,0.9,-2.772588722,2.197224577,0.5625,0.36000,0
2,1,1,0,1,1,2,2,3,3,2,0.3,0.7,0,0,2109,1,0,,,0.000609663,0.009754611,0.0625,0.3,-2.772588722,-0.84729786,0.026785714,0.02609,1
2,1,1,0,1,1,2,2,4,3,4,0.5,0.5,2,1,4733,1,0,,,0.002438653,0.002438653,1,0.5,0,0,1,0.50000,0
2,1,1,0,1,1,2,2,5,3,3,0.8,0.2,2,1,2949,1,0,,,0.001219326,0.004877305,0.25,0.8,-1.386294361,1.386294361,1,0.50000,0
2,1,1,0,1,1,2,2,6,3,8,0,1,0,0,1803,1,1,,,0.039018442,0.000152416,256,0.000001,5.545177444,-13.81550956,0.000256,0.00026,1
2,1,1,0,1,1,2,2,7,3,6,1,0,1,1,3055,1,1,,,0.009754611,0.000609663,16,0.999999,2.772588722,13.81550956,15999984.03,1.00000,1
2,1,1,0,1,1,2,2,8,3,1,0.4,0.6,0,0,2367,1,0,,,0.000304832,0.019509221,0.015625,0.4,-4.158883083,-0.405465108,0.010416667,0.01031,1
2,1,1,0,1,1,2,2,9,3,1,0.3,0.7,0,0,3212,1,0,,,0.000304832,0.019509221,0.015625,0.3,-4.158883083,-0.84729786,0.006696429,0.00665,1
2,1,1,0,1,1,2,2,10,3,4,0,1,0,0,2042,1,1,,,0.002438653,0.002438653,1,0.000001,0,-13.81550956,1E-06,0.00000,1
2,1,1,0,1,1,2,2,11,3,5,0.7,0.3,1,1,2960,1,0,,,0.004877305,0.001219326,4.000000001,0.7,1.386294361,0.84729786,9.333333329,0.90323,1
2,1,1,0,1,1,2,2,12,3,5,0.4,0.6,1,0,2656,0,0,,,0.004877305,0.001219326,4.000000001,0.4,1.386294361,-0.405465108,2.666666667,0.72727,0
2,1,1,0,1,1,2,2,13,3,4,0.4,0.6,0,0,3071,1,0,,,0.002438653,0.002438653,1,0.4,0,-0.405465108,0.666666667,0.40000,0
2,1,1,0,1,1,2,2,14,3,6,0,1,0,0,2123,1,1,,,0.009754611,0.000609663,16,0.000001,2.772588722,-13.81550956,1.6E-05,0.00002,1
2,1,1,0,1,1,2,2,15,3,7,0.7,0.3,1,1,2843,1,0,,,0.019509221,0.000304832,64.00000001,0.7,4.158883083,0.84729786,149.3333332,0.99335,1
2,1,1,0,1,1,2,2,16,3,4,0.7,0.3,1,1,2088,1,0,,,0.002438653,0.002438653,1,0.7,0,0.84729786,2.333333332,0.70000,0
2,1,1,0,1,1,2,2,17,3,6,0.1,0.9,1,0,3888,0,0,,,0.009754611,0.000609663,16,0.1,2.772588722,-2.197224577,1.777777778,0.64000,0
2,1,1,0,1,1,2,2,18,3,5,0.3,0.7,1,0,1981,0,0,,,0.004877305,0.001219326,4.000000001,0.3,1.386294361,-0.84729786,1.714285715,0.63158,0
2,1,1,0,1,1,2,2,19,3,7,0,1,0,0,1761,1,1,,,0.019509221,0.000304832,64.00000001,0.000001,4.158883083,-13.81550956,6.40001E-05,0.00006,1
2,1,1,0,1,1,2,2,20,3,7,1,0,1,1,1919,1,1,,,0.019509221,0.000304832,64.00000001,0.999999,4.158883083,13.81550956,63999936.11,1.00000,1
2,1,1,0,1,1,2,2,21,3,3,0.7,0.3,0,1,2534,0,0,,,0.001219326,0.004877305,0.25,0.7,-1.386294361,0.84729786,0.583333333,0.36842,0
2,1,1,0,1,1,2,2,22,3,3,0.6,0.4,0,1,2908,0,0,,,0.001219326,0.004877305,0.25,0.6,-1.386294361,0.405465108,0.375,0.27273,0
2,1,1,0,1,1,2,2,23,3,7,0.5,0.5,1,1,2330,1,0,,,0.019509221,0.000304832,64.00000001,0.5,4.158883083,0,63.99999998,0.98462,1
2,1,1,0,1,1,2,2,24,3,6,0.6,0.4,1,1,2868,1,0,,,0.009754611,0.000609663,16,0.6,2.772588722,0.405465108,23.99999999,0.96000,1
2,1,1,0,1,1,2,2,25,3,3,0.4,0.6,0,0,3389,1,0,,,0.001219326,0.004877305,0.25,0.4,-1.386294361,-0.405465108,0.166666667,0.14286,1
2,1,1,0,1,1,2,2,26,3,7,0.2,0.8,1,0,2580,0,0,,,0.019509221,0.000304832,64.00000001,0.2,4.158883083,-1.386294361,16,0.94118,1
2,1,1,0,1,1,2,2,27,3,5,0.6,0.4,1,1,2261,1,0,,,0.004877305,0.001219326,4.000000001,0.6,1.386294361,0.405465108,5.999999999,0.85714,1
2,1,1,0,1,1,2,2,28,3,5,0.1,0.9,0,0,1877,1,0,,,0.004877305,0.001219326,4.000000001,0.1,1.386294361,-2.197224577,0.444444445,0.30769,0
2,1,1,0,1,1,2,2,29,3,2,1,0,1,1,1746,1,1,,,0.000609663,0.009754611,0.0625,0.999999,-2.772588722,13.81550956,62499.93764,0.99998,1
2,1,1,0,1,1,2,2,30,3,4,0.3,0.7,0,0,2510,1,0,,,0.002438653,0.002438653,1,0.3,0,-0.84729786,0.428571429,0.30000,0
2,1,1,0,1,1,2,2,31,3,1,0.5,0.5,0,0,4487,1,0,,,0.000304832,0.019509221,0.015625,0.5,-4.158883083,0,0.015625,0.01538,1
2,1,1,0,1,1,2,2,32,3,3,0.9,0.1,1,1,2925,1,0,,,0.001219326,0.004877305,0.25,0.9,-1.386294361,2.197224577,2.25,0.69231,0
2,1,1,0,1,1,2,2,33,3,1,0.8,0.2,0,1,3077,0,0,,,0.000304832,0.019509221,0.015625,0.8,-4.158883083,1.386294361,0.0625,0.05882,1
2,1,1,0,1,1,2,2,34,3,3,0.3,0.7,0,0,1970,1,0,,,0.001219326,0.004877305,0.25,0.3,-1.386294361,-0.84729786,0.107142857,0.09677,1
2,1,1,0,1,1,2,2,35,3,5,0.2,0.8,2,0,1862,1,0,7,0.771428571,0.004877305,0.001219326,4.000000001,0.2,1.386294361,-1.386294361,1,0.50000,0
2,1,1,0,1,2,2,2,1,3,7,0.2,0.8,1,0,1726,0,0,,,0.019509221,0.000304832,64.00000001,0.2,4.158883083,-1.386294361,16,0.94118,1
2,1,1,0,1,2,2,2,2,3,4,0.7,0.3,1,1,1255,1,0,,,0.002438653,0.002438653,1,0.7,0,0.84729786,2.333333332,0.70000,0
2,1,1,0,1,2,2,2,3,3,5,0.2,0.8,2,0,1725,1,0,,,0.004877305,0.001219326,4.000000001,0.2,1.386294361,-1.386294361,1,0.50000,0
2,1,1,0,1,2,2,2,4,3,4,0.3,0.7,0,0,2018,1,0,,,0.002438653,0.002438653,1,0.3,0,-0.84729786,0.428571429,0.30000,0
2,1,1,0,1,2,2,2,5,3,3,0.3,0.7,0,0,1045,1,0,,,0.001219326,0.004877305,0.25,0.3,-1.386294361,-0.84729786,0.107142857,0.09677,1
2,1,1,0,1,2,2,2,6,3,3,0.4,0.6,0,0,1181,1,0,,,0.001219326,0.004877305,0.25,0.4,-1.386294361,-0.405465108,0.166666667,0.14286,1
2,1,1,0,1,2,2,2,7,3,3,0.7,0.3,0,1,1361,0,0,,,0.001219326,0.004877305,0.25,0.7,-1.386294361,0.84729786,0.583333333,0.36842,0
2,1,1,0,1,2,2,2,8,3,4,0,1,0,0,1288,1,1,,,0.002438653,0.002438653,1,0.000001,0,-13.81550956,1E-06,0.00000,1
2,1,1,0,1,2,2,2,9,3,7,0.5,0.5,1,1,2206,1,0,,,0.019509221,0.000304832,64.00000001,0.5,4.158883083,0,63.99999998,0.98462,1
2,1,1,0,1,2,2,2,10,3,6,0.6,0.4,1,1,1698,1,0,,,0.009754611,0.000609663,16,0.6,2.772588722,0.405465108,23.99999999,0.96000,1
2,1,1,0,1,2,2,2,11,3,5,0.6,0.4,1,1,1550,1,0,,,0.004877305,0.001219326,4.000000001,0.6,1.386294361,0.405465108,5.999999999,0.85714,1
