ID,WR,SR,CM,Condition,Trial,Session,BlkB,OddsA,originalOddsA,OddsB,PtResp,RT,CorrectResp,IsCorrect,L(X|A),L(X|B),LR(A),Prior(A),LogLLA,LogBaserate
D002,1,0,0,1,1,1,6,0.7,,0.3,1,,1,1,0.009754611,0.000609663,16,0.7,2.772588722,0.84729786
D002,1,0,0,1,2,1,2,0.9,,0.1,1,,0,0,0.000609663,0.009754611,0.0625,0.9,-2.772588722,2.197224577
D002,1,0,0,1,3,1,2,0.3,,0.7,0,,0,1,0.000609663,0.009754611,0.0625,0.3,-2.772588722,-0.84729786
D002,1,0,0,1,4,1,4,0.5,,0.5,1,,2,1,0.002438653,0.002438653,1,0.5,0,0
D002,1,0,0,1,5,1,3,0.8,,0.2,1,,2,1,0.001219326,0.004877305,0.25,0.8,-1.386294361,1.386294361
D002,1,0,0,1,6,1,8,0,,1,0,,0,0,0.039018442,0.000152416,256,0.000001,5.545177444,-13.81550956
D002,1,0,0,1,7,1,6,1,,0,1,,1,1,0.009754611,0.000609663,16,0.999999,2.772588722,13.81550956
D002,1,0,0,1,8,1,1,0.4,,0.6,0,,0,1,0.000304832,0.019509221,0.015625,0.4,-4.158883083,-0.405465108
D002,1,0,0,1,9,1,1,0.3,,0.7,0,,0,1,0.000304832,0.019509221,0.015625,0.3,-4.158883083,-0.84729786
D002,1,0,0,1,10,1,4,0,,1,0,,0,1,0.002438653,0.002438653,1,0.000001,0,-13.81550956
D002,1,0,0,1,11,1,5,0.7,,0.3,1,,1,1,0.004877305,0.001219326,4.000000001,0.7,1.386294361,0.84729786
D002,1,0,0,1,12,1,5,0.4,,0.6,0,,1,0,0.004877305,0.001219326,4.000000001,0.4,1.386294361,-0.405465108
D002,1,0,0,1,13,1,4,0.4,,0.6,0,,0,1,0.002438653,0.002438653,1,0.4,0,-0.405465108
D002,1,0,0,1,14,1,6,0,,1,0,,0,1,0.009754611,0.000609663,16,0.000001,2.772588722,-13.81550956
D002,1,0,0,1,15,1,7,0.7,,0.3,1,,1,1,0.019509221,0.000304832,64.00000001,0.7,4.158883083,0.84729786
D002,1,0,0,1,16,1,4,0.7,,0.3,1,,1,1,0.002438653,0.002438653,1,0.7,0,0.84729786
D002,1,0,0,1,17,1,6,0.1,,0.9,0,,1,0,0.009754611,0.000609663,16,0.1,2.772588722,-2.197224577
D002,1,0,0,1,18,1,5,0.3,,0.7,0,,1,0,0.004877305,0.001219326,4.000000001,0.3,1.386294361,-0.84729786
D002,1,0,0,1,19,1,7,0,,1,0,,0,1,0.019509221,0.000304832,64.00000001,0.000001,4.158883083,-13.81550956
D002,1,0,0,1,20,1,7,1,,0,1,,1,1,0.019509221,0.000304832,64.00000001,0.999999,4.158883083,13.81550956
D002,1,0,0,1,21,1,3,0.7,,0.3,1,,0,0,0.001219326,0.004877305,0.25,0.7,-1.386294361,0.84729786
D002,1,0,0,1,22,1,3,0.6,,0.4,1,,0,0,0.001219326,0.004877305,0.25,0.6,-1.386294361,0.405465108
D002,1,0,0,1,23,1,7,0.5,,0.5,1,,1,1,0.019509221,0.000304832,64.00000001,0.5,4.158883083,0
D002,1,0,0,1,24,1,6,0.6,,0.4,1,,1,1,0.009754611,0.000609663,16,0.6,2.772588722,0.405465108
D002,1,0,0,1,25,1,3,0.4,,0.6,0,,0,1,0.001219326,0.004877305,0.25,0.4,-1.386294361,-0.405465108
D002,1,0,0,1,26,1,7,0.2,,0.8,0,,1,0,0.019509221,0.000304832,64.00000001,0.2,4.158883083,-1.386294361
D002,1,0,0,1,27,1,5,0.6,,0.4,1,,1,1,0.004877305,0.001219326,4.000000001,0.6,1.386294361,0.405465108
D002,1,0,0,1,28,1,5,0.1,,0.9,0,,0,1,0.004877305,0.001219326,4.000000001,0.1,1.386294361,-2.197224577
D002,1,0,0,1,29,1,2,1,,0,1,,1,1,0.000609663,0.009754611,0.0625,0.999999,-2.772588722,13.81550956
D002,1,0,0,1,30,1,4,0.3,,0.7,0,,0,1,0.002438653,0.002438653,1,0.3,0,-0.84729786
D002,1,0,0,1,31,1,1,0.5,,0.5,0,,0,1,0.000304832,0.019509221,0.015625,0.5,-4.158883083,0
D002,1,0,0,1,32,1,3,0.9,,0.1,1,,1,1,0.001219326,0.004877305,0.25,0.9,-1.386294361,2.197224577
D002,1,0,0,1,33,1,1,0.8,,0.2,1,,0,0,0.000304832,0.019509221,0.015625,0.8,-4.158883083,1.386294361
D002,1,0,0,1,34,1,3,0.3,,0.7,0,,0,1,0.001219326,0.004877305,0.25,0.3,-1.386294361,-0.84729786
D002,1,0,0,1,35,1,5,0.2,,0.8,0,,2,1,0.004877305,0.001219326,4.000000001,0.2,1.386294361,-1.386294361
D002,0,1,0,2,1,1,5,0.4,,0.6,0,,1,0,0.004877305,0.001219326,4.000000001,0.4,1.386294361,-0.405465108
D002,0,1,0,2,2,1,2,1,,0,1,,1,1,0.000609663,0.009754611,0.0625,0.999999,-2.772588722,13.81550956
D002,0,1,0,2,3,1,3,0.7,,0.3,1,,0,0,0.001219326,0.004877305,0.25,0.7,-1.386294361,0.84729786
D002,0,1,0,2,4,1,2,0.7,,0.3,1,,0,0,0.000609663,0.009754611,0.0625,0.7,-2.772588722,0.84729786
D002,0,1,0,2,5,1,6,0.2,,0.8,0,,1,0,0.009754611,0.000609663,16,0.2,2.772588722,-1.386294361
